brand,product name,class,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,OS,warranty
Acer,C734 NX.H8VSI.004 Chromebook Laptop,A,Intel Celeron Dual Core N4500,"Dual Core, 2 Threads",4GB,LPDDR4X,64GB,Hard-Disk,Intel Integrated UHD,11.6,Chrome OS,1
Acer,One 11 Z8-284 UN.013SI.033 Laptop,A,Intel Celeron N4500,"Dual Core, 2 Threads",8GB,DDR4,128GB,SSD,Intel Integrated UHD,11.6,Windows 11 OS,1
Acer,One 11 Z8-284 UN.013SI.032 Laptop,A,Intel Celeron N4500,"Dual Core, 2 Threads",8GB,DDR4,256GB,SSD,Intel Integrated UHD,11.6,Windows 11 OS,2
Acer,One 14 Z2-493 Laptop,A,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,AMD Radeon Graphics,14,Windows 11 OS,2
Acer,One 14 Z8-415UN.599SI.009 Laptop,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,Intel Iris Xe Graphics,14,Windows 11 OS,1
Acer,Chromebook CB314-3H NX.K04SI.007 Laptop,A,Intel Celeron Dual Core N4500,"Dual Core, 2 Threads",8GB,LPDDR4X,128GB,SSD,Intel Integrated UHD,14,Chrome OS,1
Acer,Chromebook CB314-3H NX.K04SI.008 Laptop,A,Intel Celeron N4500,"Dual Core, 2 Threads",8GB,LPDDR4X,64GB,SSD,Intel Integrated UHD,14,Chrome OS,1
Acer,One 14 Z8-415 Laptop,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,Windows 11 OS,1
Acer,Aspire 3 A315-24P NX.KDESI.003 Laptop,A,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon Graphiics,15.6,Windows 11 OS,1
Acer,Extensa 15 EX215-33 2023 Laptop,A,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,LPDDR5,512GB,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1
Acer,Extensa EX215-54 NX.EGJSI.00E Laptop,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",4GB,DDR4,256GB,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1
Acer,Aspire 3 A315-510P Laptop,A,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,DDR4,256GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Acer,Extensa 15 EX215-33 Laptop,A,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,LPDDR5,256GB,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1
Acer,One 14 Z2-493 Laptop,A,3rd Gen AMD Ryzen 5 3500U,"Quad Core, 8 Threads",8GB,DDR4,256GB,SSD,AMD Radeon Graphics,14,Windows 11 OS,1
Acer,One 14 Z2-493 Business Laptop,A,3rd Gen AMD Ryzen 5 3500U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Radeon Graphics,14,Windows 11 OS,2
Acer,Aspire 3 NX.KDESI.008 Laptop,A,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,DDR5,512GB,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1
Acer,Extensa 15 EX215-54 Laptop,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1
Acer,Aspire 3 A315-58 Laptop UN.ADDSI.036 Laptop,A,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,Intel Integrated UHD,15.6,Windows OS,1
Acer,Aspire 3 A315-59 Laptop,A,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Graphics ,15.6,Windows 11 OS,1
Acer,Aspire 3 A315-24P NX.KDESI.00B Laptop,A,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon AMD,15.6,Windows 11 OS,1
Acer,Aspire 3 A315-59 NX.K6TSI.00C Laptop,A,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics ,15.6,Windows 11 OS,2
Acer,Aspire Lite AL15-51 2023 Laptop,A,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Graphics,15.6,Windows 11 OS,1
Acer,Aspire 5 A515-57 NX.K2VSI.002 Laptop,A,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,Windows 11 OS,1
Acer,TMP214-41-G3 UN.VSQSI.006 Notebook,A,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon AMD,14,Windows 11 OS,1
Acer,Aspire Lite AL15 Laptop,A,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Graphics,15.6,Windows 11 OS,1
Acer,One 14 Z8-415 ?2023 Laptop,A,11th Gen Intel Core i5  1135G7,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,Windows 11 OS,1
Acer,Aspire 3 A315-24P NX.KDESI.004 Laptop,A,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon Graphiics,15.6,Windows 11 OS,1
Acer,Aspire Lite AL15-51 UN.431SI.288 Laptop,A,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris XE Graphics ,15.6,Windows 11 OS,2
Acer,Aspire 3 Spin 14 NX.KENSI.002 Laptop,A,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14,Windows 11 OS,1
Acer,Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop,A,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8GB,LPDDR5,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,2
Acer,Extensa EX214-53 Laptop,A,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,Windows 11 OS,1
Acer,Aspire Lite 2023 AL15-51 Laptop,A,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1
Acer,Aspire 3 A315-59 Laptop,A,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics ,15.6,Windows 11 OS,1
Acer,TMP214-41-G3 UN.VSQSI.007 Notebook,A,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon AMD,14,Windows 11 OS,1
Acer,One 14 2023 Z8-415 ?Laptop,A,11th Gen Intel Core i5  1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,Windows 11 OS,1
Acer,Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop,B,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB,DDR5,512GB,SSD,Intel UHD Graphics,15.6,Windows 11 OS,1
Acer,Aspire 5 A515-56G NX.AT2SI.001 Laptop,B,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,2GB NVIDIA GeForce MX450,15.6,Windows 11 OS,1
Acer,Aspire Lite 15 AL15-51 2023  Laptop,B,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,DDR4,1TB,SSD,Intel Iris Xe Graphics,15.6,Windows 11 OS,1
Acer,Aspire 5 UN.K3JSI.004 Laptop,B,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",12GB,DDR4,512GB,SSD,Intel Iris Xe Graphic,15.6,Windows 11 OS,1
Acer,Aspire 5 A515-57 2022 Laptop,B,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphic,15.6,Windows 11 OS,1
Acer,TravelMate P2 TMP214-53 Business Laptop,B,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,Windows 11 OS,1
Acer,Aspire Vero AV14-52P NX.KJTSI.002 Laptop,B,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",16GB,LPDDR4X,512GB,SSD,Intel Integrated UHD,14,Windows OS,1
Acer,Aspire 7 A715-76G NH.QMESI.003 Gaming Laptop,B,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 11 OS,2
Acer,Aspire 5 A514-56M 2023 Gaming Laptop,B,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14,Windows 11 OS,1
Acer,Aspire 5 A515-57G Gaming Laptop,B,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,1
Acer,Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop,B,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,Windows 11 OS,1
Acer,Swift SF514-52T NX.GTMSI.025 Laptop,B,8th Gen Intel Core i5 8250U,"Quad Core, 8 Threads",8GB,DDR3,512GB,SSD,Intel Integrated UHD 620,14,Windows 10 OS,2
Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,B,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,Windows 11 OS,2
Acer,Aspire 5 14 A514-56GM 2023 Gaming Laptop,B,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,14,Windows 11 OS,1
Acer,Swift 3 OLED SF314-71 NX.K9PSI.003 Laptop,B,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14,Windows 11 OS,2
Acer,Swift Go 14 NX.KG3SI.005 Laptop,B,7th Gen AMD Ryzen 5  7530U,"Hexa Core, 12 Threads",16GB,LPDDR4X,512GB,SSD,AMD Radeon Graphics,14,Windows 11 OS,1
Acer,Aspire 5 15 A515-58M Gaming Laptop,B,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,4GB NVIDIA GeForce RTX2050,15.6,Windows 11 OS,2
